"RGDP_GR","INFL","FFR"
9.70587836212,1.98461322473,3.97333333333
5.39084904747,1.73352418068,4.07666666667
8.0360762824,1.46560758238,4.07333333333
9.53581035847,2.55694038879,4.16666666667
9.69976785477,2.58026995063,4.55666666667
1.32931484089,3.4081321203,4.91333333333
2.62207368769,4.09839650962,5.41
3.22776290064,3.67223298184,5.56333333333
3.5083205293,1.82355091844,4.82333333333
0.0832523902634,2.12019692726,3.99
3.17858509369,3.90524428996,3.89333333333
3.04030673427,4.40894686757,4.17333333333
8.15962562783,4.34242260539,4.78666666667
6.73458574406,4.16794755866,5.98
2.72728691367,3.92605505633,5.94333333333
1.72935477241,5.58595548736,5.91666666667
6.25081271817,4.15210222447,6.56666666667
1.16326986963,5.12152923168,8.32666666667
2.52164578414,5.67581767367,8.98333333333
-1.88314556927,5.13867206712,8.94
-0.627966186668,5.62582964049,8.57333333333
0.724488927255,5.51480850326,7.88
3.54594635166,3.13855980157,6.70333333333
-4.26441595878,5.10679837455,5.56666666667
10.880883981,5.99874910061,3.85666666667
2.26273164075,5.20360830883,4.56333333333
3.18035168914,4.00269141542,5.47333333333
1.11002120346,3.20751684815,4.75
7.08931178146,6.14136152045,3.54
9.37552413627,2.36391186925,4.3
3.81519658813,3.84921964484,4.74
6.53469611099,5.23291366965,5.14333333333
10.1032828272,4.69850867118,6.53666666667
4.60044985836,6.15608464391,7.81666666667
-2.14005456544,7.71581630375,10.56
3.79729024691,7.84640006651,9.99666666667
-3.52305090974,7.61406077617,9.32333333333
1.02286287388,9.43743507949,11.25
-3.9746333812,11.659359638,12.09
-1.57735772214,11.7916620998,9.34666666667
-4.89511782613,9.16485469171,6.30333333333
3.04523105602,5.91508006175,5.42
6.68125978046,7.37924934568,6.16
5.19136348372,7.01351261992,5.41333333333
8.99121028251,4.31750223458,4.82666666667
2.99697177713,4.23731566157,5.19666666667
1.95463937947,5.39405020018,5.28333333333
2.89423210146,7.16516652244,4.87333333333
4.61641973598,6.68192517426,4.66
7.8713040326,5.66577142184,5.15666666667
7.0904365589,4.84905868041,5.82
-0.0827656432635,8.66957063898,6.51333333333
1.36355782217,5.81947665332,6.75666666667
15.4341618318,7.2971183108,7.28333333333
3.90243442325,6.59698483029,8.1
5.2558292281,8.35115579556,9.58333333333
0.668349731619,7.08540095004,10.0733333333
0.375293504591,9.74838162992,10.18
2.86502089673,8.56950745234,10.9466666667
1.09904166823,7.98283380177,13.5766666667
1.28640572745,8.32104279932,15.0466666667
-8.2831281013,8.86429622998,12.6866666667
-0.744115669159,9.03699605922,9.83666666667
7.33073533519,10.9318089414,15.8533333333
8.22668556089,10.0200372982,16.57
-3.20448733422,7.49651801812,17.78
4.830749758,7.01738820499,17.5766666667
-5.01430489174,7.2317844332,13.5866666667
-6.61892086949,5.39443766324,14.2266666667
2.16176175525,4.81462603079,14.5133333333
-1.54511600877,5.65339667331,11.0066666667
0.315638165925,4.3157432564,9.28666666667
4.94423164719,3.2381414771,8.65333333333
8.89100142146,2.9123113756,8.80333333333
7.8110136632,4.05298677202,9.46
8.1840692912,2.93076884712,9.43
7.68398554482,5.04727814485,9.68666666667
6.84716809112,3.41035613153,10.5566666667
3.86857059759,3.20180849445,11.39
3.24323945326,2.54841337834,9.26666666667
3.75694788914,4.41448218692,8.47666666667
3.37247186001,2.26392925275,7.92333333333
6.20000194215,1.64260612755,7.9
3.02442013112,2.60906992384,8.10333333333
3.82517237476,2.02896194124,7.82666666667
1.60373256098,2.10792394691,6.92
3.83801982606,2.2679507112,6.20666666667
1.92873817749,2.6769889199,6.26666666667
2.21162147286,3.7141983181,6.22
4.23118163596,2.27531191815,6.65
3.45420611525,3.13063600703,6.84333333333
6.78632316508,3.04528787209,6.91666666667
2.06373679968,3.27058464298,6.66333333333
5.10456097464,3.74220284844,7.15666666667
2.05990855828,4.49117898577,7.98333333333
5.30573802762,3.01932819542,8.47
3.73795156141,4.50705696138,9.44333333333
2.98180372249,3.91541042026,9.72666666667
3.15987541417,2.61968276616,9.08333333333
0.872211454984,2.63677009935,8.61333333333
4.15695185969,4.80063436975,8.25
1.58665713629,4.6214863169,8.24333333333
-0.00610978273709,3.66132748209,8.16
-3.51995096996,3.20234207973,7.74333333333
-1.94240699397,4.27532674965,6.42666666667
2.69068745932,2.83755960147,5.86333333333
1.68139450823,3.09983780829,5.64333333333
1.56497135934,2.3145079241,4.81666666667
4.3666634968,2.0326990808,4.02333333333
4.22778940777,2.46232164182,3.77
4.10614739719,1.85377711839,3.25666666667
4.18748957557,2.26505878253,3.03666666667
0.734417174933,2.39136620733,3.04
2.5510007441,2.2030700883,3
2.1001022127,1.83941258664,3.06
5.24779323346,2.191117748,2.99
3.87529257091,2.09345138038,3.21333333333
5.43427394362,1.90189037551,3.94
2.56818990746,2.37220123238,4.48666666667
4.41788357721,2.05551065437,5.16666666667
0.980089272578,2.28693681729,5.81
0.858954447643,1.76809473095,6.02
3.34774950343,1.87771905761,5.79666666667
2.77916043067,2.02470320999,5.72
2.73071903116,2.30492252124,5.36333333333
6.85606399358,1.53087590351,5.24333333333
3.4642945391,1.26566393488,5.30666666667
4.34268990598,2.20412632456,5.28
3.06472792452,2.57679757051,5.27666666667
